originalorder	field	description	k	r	sd	documentnumber	reference	year
1	Aggression	There are genetic influences on aggressiveness	42	0.49	NA	176	Miles, D. R., & Carey, G. (1997). Genetic and environmental architecture of human aggression. Journal of Personality and Social Psychology, 72, 207–217.	1997
2	Aggression	Highly aggressive men have high levels of testosterone	118	0.06	0.17	20	Archer, J. (1991). The influence of testosterone on human aggression. British Journal of Psychology, 82, 1–28.	1991
3	Aggression	People become aggressive when they see aggression-related cues	78	0.16	0.36	45	Carlson, M., Marcus-Newhall, A., & Miller, N. (1990). Effects of situational aggression cues: A quantitative review. Journal of Personality and Social Psychology, 58, 622–633.	1990
4	Aggression	People become aggressive when they are provoked	66	0.36	0.33	28	Bettencourt, B. A., & Miller, N. (1996). Gender differences in aggression as a function of provocation: A meta-analysis. Psychological Bulletin, 119, 422–447.	1996
5	Aggression	People are aggressive toward individuals who provoke them	143	0.51	0.26	47	Carlson, M., & Miller, N. (1988). Bad experiences and aggression. Sociology and Social Research, 72, 155–157.	1988
6	Aggression	People who have been provoked are aggressive toward bystanders	24	0.06	0.38	47	Carlson, M., & Miller, N. (1988). Bad experiences and aggression. Sociology and Social Research, 72, 155–157.	1988
7	Aggression	People are aggressive when they are in a bad mood	256	0.41	0.29	44	Carlson, M., Marcus-Newhall, A., & Miller, N. (1989). Evidence for a general construct of aggression. Personality and Social Psychology Bulletin, 15, 377–389.	1989
8	Aggression	People are aggressive when they are hot	54	0.03	NA	13	Anderson, C. A., & Bushman, B. J. (1997). External validity of “trivial” experiments: The case of laboratory aggression. Review of General Psychology, 1, 19–41.	1997
9	Aggression	People are aggressive when they are under environmental stress	37	0.25	0.29	47	Carlson, M., & Miller, N. (1988). Bad experiences and aggression. Sociology and Social Research, 72, 155–157.	1988
10	Aggression	People are aggressive when they are anonymous	24	0.26	NA	13	Anderson, C. A., & Bushman, B. J. (1997). External validity of “trivial” experiments: The case of laboratory aggression. Review of General Psychology, 1, 19–41.	1997
11	Aggression	People who have aggressive personalities display aggressive behavior	27	0.18	NA	13	Anderson, C. A., & Bushman, B. J. (1997). External validity of “trivial” experiments: The case of laboratory aggression. Review of General Psychology, 1, 19–41.	1997
12	Aggression	Pornography increases aggression	33	0.13	0.15	7	Allen, M., D'Alessio, D., & Brezgel, K. (1995). A meta-analysis summarizing the effects of pornography II: Aggression after exposure. Human Communication Research, 22, 258–283.	1995
13	Aggression	Educational briefings prevent pornography from increasing aggression	10	0.29	0.22	9	Allen, M., D'Alessio, D., Emmers, T. M., & Gebhardt, L. (1996). The role of educational briefings in mitigating effects of experimental exposure to violent sexually explicit material: A meta-analysis. The Journal of Sex Research, 33, 135–141.	1996
14	Aggression	Sexually aggressive men are aroused by depictions of rape	18	0.24	0.1	121	Hall, G. C. N., Shondrick, D. D., & Hirschman, R. (1993). The role of sexual arousal in sexually aggressive behavior: A meta-analysis. Journal of Consulting and Clinical Psychology, 61, 1091–1095.	1993
15	Aggression	When people drink alcohol, they become aggressive	88	0.24	0.04	40	Bushman, B. J., & Cooper, H. M. (1990). Effects of alcohol on human aggression: An integrative research review. Psychological Bulletin, 107, 341–354.	1990
16	Aggression	When people drink alcohol, they become aggressive	65	0.23	NA	39	Bushman, B. J. (1997). Effects of alcohol on human aggression: Validity of proposed explanations. Recent Developments in Alcoholism, 13, 227–243.	1997
17	Aggression	When people drink alcohol, they become aggressive	49	0.26	0.32	143	Ito, T. A., Miller, N., & Pollock, V. E. (1996). Alcohol and aggression: A meta-analysis on the moderating effects of inhibitory cues, triggering events, and self-focused attention. Psychological Bulletin, 120, 60–82.	1996
18	Aggression	When people think they are drinking alcohol, they become aggressive	20	0.05	NA	39	Bushman, B. J. (1997). Effects of alcohol on human aggression: Validity of proposed explanations. Recent Developments in Alcoholism, 13, 227–243.	1997
19	Aggression	When people think they are drinking alcohol, they become aggressive	16	0.05	0.17	40	Bushman, B. J., & Cooper, H. M. (1990). Effects of alcohol on human aggression: An integrative research review. Psychological Bulletin, 107, 341–354.	1990
20	Aggression	Exposure to mass media violence increases aggression	1142	0.31	0.14	216	Paik, H., & Comstock, G. (1994). The effects of television violence on antisocial behavior: A metaanalysis. Communication Research, 21, 516–546. 	1994
21	Aggression	Exposure to mass media violence increases aggression	12	0.13	0.12	315	Wood, W., Wong, F. Y., & Chachere, J. G. (1991). Effects of media violence on viewers' aggression in unconstrained social interaction. Psychological Bulletin, 109, 371–383. 	1991
22	Aggression	People act antisocially after seeing antisocial behavior on TV	528	0.12	0.4	134	Hearold, S. (1986). A synthesis of 1043 effects of television on social behavior. In G. Comstock (Ed.), Public communication and behavior (Vol. 1, pp. 65–133). Orlando, FL: Academic Press.	1986
23	Aggression	Aggressiveness is stable over time	38	0.48	0.39	322	Zumkley, H. (1994). The stability of aggressive behavior: A meta-analysis. German Journal of Psychology, 18, 273–281.	1994
